Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
SecFedNIDS: Robust defense for poisoning attack against federated learning-based network intrusion detection system,"SecFedNIDS, a secure federated learning-based network intrusion detection system, improves accuracy against poisoning attacks by up to 48% on UNSW-NB15 and 36% on CICIDS2018 datasets.","Zhao Zhang, Yong Zhang, Da Guo, Lei Yao",2022,85,,"theoretical, modeling, or simulation study",Future Gener. Comput. Syst.,1,10.1016/j.future.2022.04.010,https://consensus.app/papers/secfednids-robust-defense-for-poisoning-attack-against-zhang-zhang/67d2f76447dd5962ada7210a8f7f21e3/
LoMar: A Local Defense Against Poisoning Attack on Federated Learning,"LoMar is a two-phase defense algorithm for federated learning, providing a privacy-preserving mobile edge computing framework against poisoning attacks from remote clients.","Xingyu Li, Zhe Qu, Shangqing Zhao, Bo Tang, Zhuo Lu, Yao-Hong Liu",2022,153,"Federated learning (FL) provides a high efficient decentralized machine learning framework, where the training data remains distributed at remote clients in a network. Though FL enables a privacy-preserving mobile edge computing framework using IoT devices, recent studies have shown that this approach is susceptible to poisoning attacks from the side of remote clients. To address the poisoning attacks on FL, we provide a <italic>two-phase</italic> defense algorithm called <inline-formula><tex-math notation=""LaTeX"">${\underline{Lo}cal\ \underline{Ma}licious\ Facto\underline{r}}$</tex-math><alternatives><mml:math><mml:mrow><mml:munder><mml:mrow><mml:mi>L</mml:mi><mml:mi>o</mml:mi></mml:mrow><mml:mo>̲</mml:mo></mml:munder><mml:mi>c</mml:mi><mml:mi>a</mml:mi><mml:mi>l</mml:mi><mml:mspace width=""4pt""/><mml:munder><mml:mrow><mml:mi>M</mml:mi><mml:mi>a</mml:mi></mml:mrow><mml:mo>̲</mml:mo></mml:munder><mml:mi>l</mml:mi><mml:mi>i</mml:mi><mml:mi>c</mml:mi><mml:mi>i</mml:mi><mml:mi>o</mml:mi><mml:mi>u</mml:mi><mml:mi>s</mml:mi><mml:mspace width=""4pt""/><mml:mi>F</mml:mi><mml:mi>a</mml:mi><mml:mi>c</mml:mi><mml:mi>t</mml:mi><mml:mi>o</mml:mi><mml:munder><mml:mi>r</mml:mi><mml:mo>̲</mml:mo></mml:munder></mml:mrow></mml:math><inline-graphic xlink:href=""tang-ieq1-3135422.gif""/></alternatives></inline-formula> (LoMar). In phase I, LoMar scores model updates from each remote client by measuring the relative distribution over their neighbors using a kernel density estimation method. In phase II, an optimal threshold is approximated to distinguish malicious and clean updates from a statistical perspective. Comprehensive experiments on four real-world datasets have been conducted, and the experimental results show that our defense strategy can effectively protect the FL system. Specifically, the defense performance on Amazon dataset under a label-flipping attack indicates that, compared with FG+Krum, LoMar increases the target label testing accuracy from <inline-formula><tex-math notation=""LaTeX"">$96.0\%$</tex-math><alternatives><mml:math><mml:mrow><mml:mn>96</mml:mn><mml:mo>.</mml:mo><mml:mn>0</mml:mn><mml:mo>%</mml:mo></mml:mrow></mml:math><inline-graphic xlink:href=""tang-ieq2-3135422.gif""/></alternatives></inline-formula> to <inline-formula><tex-math notation=""LaTeX"">$98.8\%$</tex-math><alternatives><mml:math><mml:mrow><mml:mn>98</mml:mn><mml:mo>.</mml:mo><mml:mn>8</mml:mn><mml:mo>%</mml:mo></mml:mrow></mml:math><inline-graphic xlink:href=""tang-ieq3-3135422.gif""/></alternatives></inline-formula>, and the overall averaged testing accuracy from <inline-formula><tex-math notation=""LaTeX"">$90.1\%$</tex-math><alternatives><mml:math><mml:mrow><mml:mn>90</mml:mn><mml:mo>.</mml:mo><mml:mn>1</mml:mn><mml:mo>%</mml:mo></mml:mrow></mml:math><inline-graphic xlink:href=""tang-ieq4-3135422.gif""/></alternatives></inline-formula> to <inline-formula><tex-math notation=""LaTeX"">$97.0\%$</tex-math><alternatives><mml:math><mml:mrow><mml:mn>97</mml:mn><mml:mo>.</mml:mo><mml:mn>0</mml:mn><mml:mo>%</mml:mo></mml:mrow></mml:math><inline-graphic xlink:href=""tang-ieq5-3135422.gif""/></alternatives></inline-formula>.",other,IEEE Transactions on Dependable and Secure Computing,1,10.1109/tdsc.2021.3135422,https://consensus.app/papers/lomar-a-local-defense-against-poisoning-attack-on-li-qu/e6b716b026b153c593abcb4b59db74b6/
Byzantine robust federated learning for heterogeneous brain MRI using multisignal gradient fingerprinting and adaptive trust aggregation,Our trust-aware federated learning framework for brain MRI uses multi-signal gradient fingerprinting and adaptive trust aggregation to achieve Byzantine robustness against malicious clients and non-IID data heterogeneity.,"Mohammad Karami, Fatemeh Ghassemi, Hamed Kebriaei, H. Azadegan",2025,3,"Federated learning enables collaborative training across institutions without centralizing patient data, but remains vulnerable to malicious clients and severe non-IID data heterogeneity. We propose a trust-aware federated learning framework for brain MRI that combines multi-signal gradient fingerprinting with adaptive aggregation to achieve Byzantine robustness. Each client update is characterized by a six-dimensional fingerprint (variational-autoencoder reconstruction error, cosine similarity to a server reference, peer similarity, gradient norm, sign consistency, and Monte Carlo Shapley contribution). A dual-attention module and a reinforcement-learning controller map these signals into trust weights and integrate with FedBN-P (Federated Batch Normalization with Proximal regularization), an optimizer co-designed for stability under heterogeneous and adversarial conditions. We evaluate on MNIST, CIFAR-10, Alzheimer's MRI, and the OASIS brain-MRI cohort (approximately 87 test samples, used strictly as proof-of-concept) under both standard and strengthened threat models (up to 40% malicious clients). Attack-specific ablation confirms a defense-in-depth design: VAE fingerprinting is the primary noise-attack defense (3.60 pp accuracy drop upon removal), Shapley values safeguard accuracy under scaling (10.16 pp drop), and reinforcement learning improves detection consistency under dynamic attack schedules. Three-seed paired-test validation further shows detection F1 outperforms FLTrust by up to 44 pp on Non-IID Gaussian noise; a white-box adaptive attacker degrades the detector but not model accuracy, confirming the layered design. End-to-end wall-clock overhead is + 8.8% over FedAvg with identical communication volume. The framework achieves F1 above 0.98 for gradient-scaling attacks while preserving accuracy under magnitude-preserving attacks where explicit detection remains limited. Multi-site validation on larger federated cohorts (e.g., ADNI, UK Biobank, FeTS) is required before any clinical-deployment claim can be made.

© 2026. The Author(s).",,Scientific Reports,1,10.1038/s41598-026-55855-5,https://consensus.app/papers/byzantine-robust-federated-learning-for-heterogeneous-karami-ghassemi/b9662ba9ef185de79c304ed99cc741e5/
Zero-Trust Empowered Decentralized Security Defense against Poisoning Attacks in SL-IoT: Joint Distance-Accuracy Detection Approach,"Our zero-trust architecture for swarm learning effectively defends against poisoning attacks, achieving higher accuracy than existing schemes.","Rongxuan Song, Jun Wu, Qianqian Pan, Muhammad Imran, N. Naser, Rebet Jones, Christos V. Verikoukis",2023,7,"Swarm learning (SL) exploits the blockchain to realize a federated and decentralized learning, which is very suitable for internet of things (IoT). Different from FL using central server to update global parameter, SL using edge node (header) to do that. However, poisoning attack is also an unresolved problem to SL. Because if header is malicious, it can pollute global parameter more easily than edge nodes. Moreover, there are following important limitations in existing defense schemes for FL, which cannot be used in SL directly. First, existing defense schemes focus on building a whitelist, which obstructs the decentralization because it can just provide decentralization in honest nodes instead of all of nodes. Second, existing schemes just consider poisoning attacks from edge nodes, they cannot defend attacks from header. Third, most existing schemes will let server execute the defense algorithm, but in SL, malicious header can return wrong defense results to deceive managers. To address above challenges, in this paper, we propose a protection system that leverages the concept of zero-trust architecture for SL, which achieves continuous risk calculation, analysis of learning behavior and abnormal parameter detection based on Manhattan distance and accuracy difference of parameters. We also evaluate the performance in the presence of random and customized malicious edge nodes. Experimental results demonstrate that our scheme can achieve higher accuracy than the other existing schemes.","theoretical, modeling, or simulation study",GLOBECOM 2023 - 2023 IEEE Global Communications Conference,,10.1109/globecom54140.2023.10437789,https://consensus.app/papers/zerotrust-empowered-decentralized-security-defense-song-wu/34b4edfe23c451d8973d0a4382a1fb27/
FLARE: Adaptive Multi-Dimensional Reputation for Robust Client Reliability in Federated Learning,"FLARE, an adaptive reputation-based framework, improves client reliability in federated learning by up to 16% and preserves model convergence within 30% of the non-attacked baseline, while achieving strong malicious-client detection performance with minimal computational overhead.","Abolfazl Younesi, Leon Kiss, Zahra Najafabadi Samani, Juan Aznar Poveda, T. Fahringer",2025,2,"Federated learning (FL) enables collaborative model training while preserving data privacy. However, it remains vulnerable to malicious clients who compromise model integrity through Byzantine attacks, data poisoning, or adaptive adversarial behaviors. Existing defense mechanisms rely on static thresholds and binary classification, failing to adapt to evolving client behaviors in real-world deployments. We propose FLARE, an adaptive reputation-based framework that transforms client reliability assessment from binary decisions to a continuous, multi-dimensional trust evaluation. FLARE integrates: (i) a multi-dimensional reputation score capturing performance consistency, statistical anomaly indicators, and temporal behavior, (ii) a self-calibrating adaptive threshold mechanism that adjusts security strictness based on model convergence and recent attack intensity, (iii) reputation-weighted aggregation with soft exclusion to proportionally limit suspicious contributions rather than eliminating clients outright, and (iv) a Local Differential Privacy (LDP) mechanism enabling reputation scoring on privatized client updates. We further introduce a highly evasive Statistical Mimicry (SM) attack, a benchmark adversary that blends honest gradients with synthetic perturbations and persistent drift to remain undetected by traditional filters. Extensive experiments with 100 clients on MNIST, CIFAR-10, and SVHN demonstrate that FLARE maintains high model accuracy and converges faster than state-of-the-art Byzantine-robust methods under diverse attack types, including label flipping, gradient scaling, adaptive attacks, ALIE, and SM. FLARE improves robustness by up to 16% and preserves model convergence within 30% of the non-attacked baseline, while achieving strong malicious-client detection performance with minimal computational overhead. https://github.com/Anonymous0-0paper/FLARE","theoretical, modeling, or simulation study",ArXiv,,10.48550/arxiv.2511.14715,https://consensus.app/papers/flare-adaptive-multidimensional-reputation-for-robust-younesi-kiss/37bf13eaa6435d33ab5b30342bb695ee/
Backdoor attacks against distributed swarm learning.,"This paper demonstrates the effectiveness of backdoor attacks against swarm learning, highlighting its potential security risk and highlighting defense methods to alleviate these attacks.","Kongyang Chen, Huaiyuan Zhang, Xiangyu Feng, Xiaoting Zhang, Bing Mi, Zhiping Jin",2023,21,,"theoretical, modeling, or simulation study",ISA transactions,1,10.1016/j.isatra.2023.03.034,https://consensus.app/papers/backdoor-attacks-against-distributed-swarm-learning-chen-zhang/e1aa065794075911b5520663fba51565/
Defending Against Poisoning Attacks in Federated Learning With Blockchain,"Our blockchain-based federated learning system effectively detects and deters malicious client-side behaviors, improving data privacy and security in deep learning.","Nanqing Dong, Zhipeng Wang, Jiahao Sun, Michael C. Kampffmeyer, W. Knottenbelt, Eric P. Xing",2023,51,"In the era of deep learning, federated learning (FL) presents a promising approach that allows multiinstitutional data owners, or clients, to collaboratively train machine learning models without compromising data privacy. However, most existing FL approaches rely on a centralized server for global model aggregation, leading to a single point of failure. This makes the system vulnerable to malicious attacks when dealing with dishonest clients. In this work, we address this problem by proposing a secure and reliable FL system based on blockchain and distributed ledger technology. Our system incorporates a peer-to-peer voting mechanism and a reward-and-slash mechanism, which are powered by on-chain smart contracts, to detect and deter malicious behaviors. Both theoretical and empirical analyses are presented to demonstrate the effectiveness of the proposed approach, showing that our framework is robust against malicious client-side behaviors.","theoretical, modeling, or simulation study",IEEE Transactions on Artificial Intelligence,1,10.1109/tai.2024.3376651,https://consensus.app/papers/defending-against-poisoning-attacks-in-federated-dong-wang/8bc6b047f8975e76bbd86ec96eabf773/
GTG-Shapley: Efficient and Accurate Participant Contribution Evaluation in Federated Learning,"GTG-Shapley effectively evaluates participant contributions in Federated Learning while preserving data privacy, significantly increasing computational efficiency compared to existing methods.","Zelei Liu, Yuanyuan Chen, Han Yu, Yang Liu, Li-zhen Cui",2021,209,"Federated Learning (FL) bridges the gap between collaborative machine learning and preserving data privacy. To sustain the long-term operation of an FL ecosystem, it is important to attract high-quality data owners with appropriate incentive schemes. As an important building block of such incentive schemes, it is essential to fairly evaluate participants’ contribution to the performance of the final FL model without exposing their private data. Shapley Value (SV)–based techniques have been widely adopted to provide a fair evaluation of FL participant contributions. However, existing approaches incur significant computation costs, making them difficult to apply in practice. In this article, we propose the Guided Truncation Gradient Shapley (GTG-Shapley) approach to address this challenge. It reconstructs FL models from gradient updates for SV calculation instead of repeatedly training with different combinations of FL participants. In addition, we design a guided Monte Carlo sampling approach combined with within-round and between-round truncation to further reduce the number of model reconstructions and evaluations required. This is accomplished through extensive experiments under diverse realistic data distribution settings. The results demonstrate that GTG-Shapley can closely approximate actual Shapley values while significantly increasing computational efficiency compared with the state-of-the-art, especially under non-i.i.d. settings.","theoretical, modeling, or simulation study",ACM Transactions on Intelligent Systems and Technology (TIST),1,10.1145/3501811,https://consensus.app/papers/gtgshapley-efficient-and-accurate-participant-liu-chen/fe0d5826c0dd5e69a38cd599787781bb/
FairFed: Improving Fairness and Efficiency of Contribution Evaluation in Federated Learning via Cooperative Shapley Value,"FairFed improves fairness and efficiency in federated learning by treating participants as single-stage cooperative games, addressing dynamic participants and reducing computational complexity.","Yiqi Liu, Shan Chang, Ye Liu, Bo Li, Cong Wang",2024,21,"The quality of federated learning (FL) is highly correlated with the number and quality of the participants involved. It is essential to design proper contribution evaluation mechanisms. Shapley Value (SV)-based techniques have been widely used to provide fair contribution evaluation. Existing approaches, however, do not support dynamic participants (e.g., joining and departure) and incur significant computation costs, making them difficult to apply in practice. Worse, participants may be incorrectly valued as negative contribution under the Non-IID data scenarios, further jeopardizing fairness. In this work, we propose FairFed to address the above challenges. First, given that each iteration is of equal importance, FairFed treats FL as Multiple Single-stage Cooperative Games, and evaluates participants by each iteration for effectively coping with dynamic participants and ensuring fairness across iterations. Second, we introduce Cooperative Shapley Value (CSV) to rectify negative values of participants to improving the fairness while preserving true negative values. Third, we prove if participants are Strategically Equivalent, the number of participant combinations can be sharply reduced from exponential to polynomial, thus significantly reducing the computational complexity of CSV. Experimental results show that FairFed achieves up to 25.3 × speedup and reduces deviations by three orders of magnitude to two state-of-the-art approximation approaches.","theoretical, modeling, or simulation study",IEEE INFOCOM 2024 - IEEE Conference on Computer Communications,,10.1109/infocom52122.2024.10621438,https://consensus.app/papers/fairfed-improving-fairness-and-efficiency-of-liu-chang/e58921f630775ad0b11c0bcb2b5e7ad5/
FedDSV: Shapley Value-Based Contribution Estimation in Federated Learning With Dynamic Participation,,"Kai Lei, Xuebin Ren, Shusen Yang, Xiaocheng Wang, Fangyuan Zhao",2025,9,"Federated Learning (FL) succeeds in collaborative and privacy-preserving ML model training among multiple distributed data owners. To maintain a healthy FL ecosystem, it is crucial to estimate the contributions of all participants fairly. Due to provable fairness, Shapley value (SV) is widely used for contribution estimation in FL. However, current studies focus on static scenarios with fixed participants and neglect the dynamic settings with the random joining or leaving of participants in practice. This paper fills the gap by proposing FedDSV, a novel contribution estimation framework for FL with dynamic participation. FedDSV supports flexible weighting mechanisms and is compatible with the SV fairness properties in dynamic scenarios. To reduce the computational complexity, we propose a Monte Carlo variant sampling method (SMC), which can adapt well to dynamic scenarios and approximate the true SVs. To evaluate the effectiveness and efficiency of our proposed approaches, extensive experiments under different settings (e.g., frequency switching, low-quality detection, etc.) are conducted on both i.i.d and non-i.i.d. distributions. Experimental results demonstrate that FedDSV can reflect the real utility contribution of data sources for dynamic FL, and SMC can approximate the exact dynamic SVs with larger similarities in a much shorter time than the state-of-the-art methods.",,IEEE Transactions on Mobile Computing,1,10.1109/tmc.2025.3574784,https://consensus.app/papers/feddsv-shapley-valuebased-contribution-estimation-in-lei-ren/5c401363b2e753e48437b0935af8ca43/
Demystifying Swarm Learning: A New Paradigm of Blockchain-based Decentralized Federated Learning,"Swarm Learning (SL) is a secure, decentralized federated learning paradigm suitable for most application scenarios, regardless of dataset balance, pollution, or bias.","Jialiang Han, Y. Ma, Yudong Han, Ying Zhang, Gang Huang",2022,20,"Federated learning (FL) is an emerging promising privacy-preserving machine learning paradigm and has raised more and more attention from researchers and developers. FL keeps users' private data on devices and exchanges the gradients of local models to cooperatively train a shared Deep Learning (DL) model on central custodians. However, the security and fault tolerance of FL have been increasingly discussed, because its central custodian mechanism or star-shaped architecture can be vulnerable to malicious attacks or software failures. To address these problems, Swarm Learning (SL) introduces a permissioned blockchain to securely onboard members and dynamically elect the leader, which allows performing DL in an extremely decentralized manner. Compared with tremendous attention to SL, there are few empirical studies on SL or blockchain-based decentralized FL, which provide comprehensive knowledge of best practices and precautions of deploying SL in real-world scenarios. Therefore, we conduct the first comprehensive study of SL to date, to fill the knowledge gap between SL deployment and developers, as far as we are concerned. In this paper, we conduct various experiments on 3 public datasets of 5 research questions, present interesting findings, quantitatively analyze the reasons behind these findings, and provide developers and researchers with practical suggestions. The findings have evidenced that SL is supposed to be suitable for most application scenarios, no matter whether the dataset is balanced, polluted, or biased over irrelevant features.",other,ArXiv,,10.48550/arxiv.2201.05286,https://consensus.app/papers/demystifying-swarm-learning-a-new-paradigm-of-han-ma/54ce5dc4ce195199905df4d8cb78080d/
A Reputation-Aware Adaptive Incentive Mechanism for Federated Learning-Based Smart Transportation,The reputation-aware federated learning framework improves model accuracy and robustness in smart city transportation systems by evaluating client reputation and detecting malicious clients.,"Abir Raza, E. Badidi, Omar El Harrouss",2026,3,"Federated learning (FL) has emerged as a promising paradigm for privacy-preserving distributed intelligence in modern urban transportation systems, where vehicles collaboratively train global models without sharing raw data. However, the dynamic nature of vehicular environments introduces critical challenges, including unstable participation, data heterogeneity, and the potential for malicious behavior. Conventional FL frameworks lack effective trust management and adaptive incentive mechanisms capable of maintaining fairness and reliability under these fluctuating conditions. This paper presents a reputation-aware federated learning framework that integrates multi-dimensional reputation evaluation, dynamic incentive control, and malicious client detection through an adaptive feedback mechanism. Each vehicular client is assessed based on data quality, stability, and behavioral consistency, producing a reputation score that directly influences client selection and reward allocation. The proposed feedback controller self-tunes the incentive weights in real time, ensuring equitable participation and sustained convergence performance. In parallel, a penalty module leverages statistical anomaly detection to identify, isolate, and penalize untrustworthy clients without compromising benign contributors. Extensive simulations conducted on real-world datasets demonstrate that the proposed framework achieves higher model accuracy and greater robustness against poisoning and gradient manipulation attacks compared to existing baseline methods. The results confirm the potential of our trust-regulated incentive mechanism to enable reliable federated learning in smart cities transportation systems.","theoretical, modeling, or simulation study",Smart Cities,1,10.3390/smartcities9020027,https://consensus.app/papers/a-reputationaware-adaptive-incentive-mechanism-for-raza-badidi/17984ca2eee5551ab1b730c7f0206967/
Robust aggregation algorithms for federated learning in unreliable network environments,"Robust aggregation algorithms, such as RFA and FedRoLA, improve federated learning accuracy and convergence speed in unreliable networks, with up to 12 percent improvement in test accuracy with 30% simulated packet loss.","Ziyang Zeng, Shiyu Yang, Guanyu Ding",2025,6,"Federated learning (FL) allows joint model training on distributed devices without losing data locality, but its results are significantly worse in unreliable network systems where packets are dropped, clients fail, resources are heterogeneous, and adversarial (Byzantine) agents exist. The viability of FL to withstand these unfavorable conditions is keyed on the robust aggregation algorithms. The paper meticulously examines powerful methods of aggregation, which include: geometric-median methods (RFA), Krum/Multi-Krum, trimmed-mean/coordinate-wise defenses, g-divergence estimators, trust-based aggregators (FLTrust), and layer-wise aggregation methods (FedRoLA) and compares their performance on simulated unreliable networks, which model packet loss, communication delay, and malicious client actions (McMahan et al., 2017; Blanchard et al., 2017; P We examine accuracy, convergence speed, communication cost and resilience in the face of model-poisoning attacks with the help of benchmark image tasks and a set of network unreliability scenarios. We find that robust aggregators combining statistical outlier resistance and structural (layer-wise) aggregation or trust calibration (especially RFA and FedRoLA) are more accurate and converge more quickly than naive FedAvg in high packet-loss and moderate Byzantine contamination and we observe up to 12 percent improvement in test accuracy with 30 percent simulated packet loss. We also talk about the trade offs between robustness, communication overhead and privacy (secure aggregation) and present a hybrid design pattern that incorporates robust aggregation and adaptive client selection with secure aggregation so as to address both unreliable links as well as adversarial updates. The results provide prescriptive advice on the use of FL in mobile, IoT, and vehicular networks that have limited reliability and security requirements and provide future directions such as privacy-conscious robust aggregation, fairness-conscious weighting, and testbed implementation.","theoretical, modeling, or simulation study",Journal of Computing and Electronic Information Management,,10.54097/n0dpaf43,https://consensus.app/papers/robust-aggregation-algorithms-for-federated-learning-in-zeng-yang/28ae449febae52859a790302e5de5400/
CONTRA: Defending Against Poisoning Attacks in Federated Learning,CONTRA significantly reduces attack success rate in federated learning systems by 70% and global model performance degradation by 50% compared to state-of-the-art defenses.,"S. Awan, Bo Luo, Fengjun Li",2021,173,"Federated learning (FL) is an emerging machine learning paradigm. With FL, distributed data owners aggregate their model updates to train a shared deep neural network collaboratively, while keeping the training data locally. However, FL has little control over the local data and the training process. Therefore, it is susceptible to poisoning attacks, in which malicious or compromised clients use malicious training data or local updates as the attack vector to poison the trained global model. Moreover, the performance of existing detection and defense mechanisms drops significantly in a scaled-up FL system with non-iid data distributions. In this paper, we propose a defense scheme named CONTRA to defend against poisoning attacks, e.g., label-flipping and backdoor attacks, in FL systems. CONTRA implements a cosinesimilarity-based measure to determine the credibility of local model parameters in each round and a reputation scheme to dynamically promote or penalize individual clients based on their per-round and historical contributions to the global model. With extensive experiments, we show that CONTRA significantly reduces the attack success rate while achieving high accuracy with the global model. Compared with a state-of-the-art (SOTA) defense, CONTRA reduces the attack success rate by 70% and reduces the global model performance degradation by 50%.","theoretical, modeling, or simulation study",,,10.1007/978-3-030-88418-5_22,https://consensus.app/papers/contra-defending-against-poisoning-attacks-in-federated-awan-luo/68793cb1e7345096bddeb2751697d802/
FedSV: Byzantine-Robust Federated Learning via Shapley Value,"FedSV, a defense against malicious clients in Federated Learning, effectively measures user contribution and identifies them more robustly, improving machine learning accuracy.","Khaoula Otmani, Rachid El-Azouzi, Vincent Labatut",2024,15,"In Federated Learning (FL), several clients jointly learn a machine learning model: each client maintains a local model for its local learning dataset, while a master server maintains a global model by aggregating the local models of the client devices. However, the repetitive communication between server and clients leaves room for attacks aimed at compromising the integrity of the global model, causing errors in its targeted predictions. In response to such threats on FL, various defense measures have been proposed in the literature [1]. In this paper, we present a powerful defense against malicious clients in FL, called FedSV, using the Shapley Value (SV), which has been proposed recently to measure user conribution in FL by computing the marginal increase of average accuracy of the model due to the addition of local data of a user. Our approach makes the identification of malicious clients more robust, since during the learning phase, it estimates the conribution of each client according to the different groups to which the target client belongs. FedSV's effectiveness is demonstrated by extensive experiments on MNIST datasets in a cross-silo context under various attacks.","theoretical, modeling, or simulation study",ICC 2024 - IEEE International Conference on Communications,,10.1109/icc51166.2024.10622175,https://consensus.app/papers/fedsv-byzantinerobust-federated-learning-via-shapley-otmani-el-azouzi/9f16d1c63b2b570c89adf09a1c981952/
Private and Robust Contribution Evaluation in Federated Learning,"Our Fair-Private and Everybody-Else contribution scores, compatible with secure aggregation, improve fairness, privacy, robustness, and practical utility in cross-silo federated learning.","D. Vélez, G. Biczók, A. G. I. Amat, J. Ostman, Balázs Pejó",2026,0,"Cross-silo federated learning allows multiple organizations to collaboratively train machine learning models without sharing raw data, but client updates can still leak sensitive information through inference attacks. Secure aggregation protects privacy by hiding individual updates, yet it complicates contribution evaluation, which is critical for fair rewards and detecting low-quality or malicious participants. Existing marginal-contribution methods, such as the Shapley value, are incompatible with secure aggregation, and practical alternatives, such as Leave-One-Out, are crude and rely on self-evaluation. We introduce two marginal-difference contribution scores compatible with secure aggregation. Fair-Private satisfies standard fairness axioms, while Everybody-Else eliminates self-evaluation and provides resistance to manipulation, addressing a largely overlooked vulnerability. We provide theoretical guarantees for fairness, privacy, robustness, and computational efficiency, and evaluate our methods on multiple medical image datasets and CIFAR10 in cross-silo settings. Our scores consistently outperform existing baselines, better approximate Shapley-induced client rankings, and improve downstream model performance as well as misbehavior detection. These results demonstrate that fairness, privacy, robustness, and practical utility can be achieved jointly in federated contribution evaluation, offering a principled solution for real-world cross-silo deployments.","theoretical, modeling, or simulation study",ArXiv,,10.48550/arxiv.2602.21721,https://consensus.app/papers/private-and-robust-contribution-evaluation-in-federated-v%C3%A9lez-bicz%C3%B3k/7a7f182935805390b90f867fc527d03c/
Efficient Client Contribution Evaluation for Horizontal Federated Learning,The proposed efficient method for evaluating federated participants' contributions in federated learning outperforms the conventional leave-one-out method in terms of valuation authenticity and time complexity.,"Xinghua Zhu, Jianzong Wang, Jing Xiao",2021,47,"In federated learning (FL), fair and accurate measurement of the contribution of each federated participant is of great significance. The level of contribution not only provides a rational metric for distributing financial benefits among federated participants, but also helps to discover malicious participants that try to poison the FL framework. Previous methods for contribution measurement were based on enumeration over possible combination of federated participants. Their computation costs increase drastically with the number of participants or feature dimensions, making them inapplicable in practical situations. In this paper an efficient method is proposed to evaluate the contributions of federated participants. This paper focuses on the horizontal FL framework, where client servers calculate parameter gradients over their local data, and upload the gradients to the central server. Before aggregating the client gradients, the central server train a data value estimator of the gradients using reinforcement learning techniques. As shown by experimental results, the proposed method consistently outperforms the conventional leave-one-out method in terms of valuation authenticity as well as time complexity.","theoretical, modeling, or simulation study","ICASSP 2021 - 2021 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,10.1109/icassp39728.2021.9413377,https://consensus.app/papers/efficient-client-contribution-evaluation-for-horizontal-zhu-wang/a81b3bbd62da5b23a3e084c94730b24d/
Detection of Poisoning Attacks in Federated Learning with Non-IID data,"RBF is an effective and efficient defense against poisoning attacks in federated learning systems, outperforming existing kernel-based defenses like KPCA and LoMar.","D. Bhatt, Le Gruenwald",2025,1,"Federated Learning (FL) is a decentralized approach to training machine learning models while preserving the privacy of training data. In FL, the training data remains on local clients, and only model updates are shared with a central server to collaboratively learn a global model. However, this decentralized nature makes FL vulnerable to poisoning attacks, where malicious clients can compromise the integrity of the model by submitting manipulated updates. To defend against such attacks, we propose a new defense algorithm called RBF, based on Radial Basis Functions. The RBF defense algorithm constructs a similarity matrix between client model updates and then analyzes this matrix to detect anomalous patterns that may indicate malicious behavior. Identified malicious clients are excluded from the aggregation process to enhance the robustness and prediction accuracy of the global model. We evaluate RBF on three real-world datasets using four different learning models. Its performance is compared against two existing kernel-based defense algorithms: KPCA with KMeans (Kernel Principal Component Analysis with clustering) and LoMar (Local Malicious Factor using Kernel Density Estimation). Experimental results demonstrate that RBF outperforms both baselines across standard evaluation metrics, including Precision, Recall, F1-Score, Attack Success Rate, and Global Prediction Accuracy. Additionally, RBF achieves the lowest execution time with two models and comparable performance with the other two models. Further experiments varying the number of clients, the proportion of malicious participants, and data heterogeneity (IID vs Non-IID) show that RBF maintains stable and competitive performance under diverse conditions. These findings establish RBF as an effective and efficient defense against poisoning attacks in federated learning systems.","theoretical, modeling, or simulation study","2025 International Conference on Computer, Information and Telecommunication Systems (CITS)",,10.1109/cits65975.2025.11099252,https://consensus.app/papers/detection-of-poisoning-attacks-in-federated-learning-with-bhatt-gruenwald/f9a0ff1c5a4a523c9bf496579e93ceaa/
Median-Krum: A Joint Distance-Statistical Based Byzantine-Robust Algorithm in Federated Learning,"The Median-Krum algorithm provides robustness against Byzantine failures in Federated Learning, improving accuracy and convergence rounds compared to FedAvg, Krum, Multi-Krum, and FedMedian approaches.",Francesco Colosimo,2023,45,"The wide spread of Artificial Intelligence-based services in recent years has encouraged research into new Machine Learning paradigms. Federated Learning (FL) represents a new distributed approach capable of achieving higher privacy and security guarantees than other methodologies since it allows multiple users to collaboratively train a global model without sharing their local training data. In this paper, an analysis of the characteristics of Federated Learning is therefore carried out, with a particular focus on security aspects. In detail, currently known vulnerabilities and their respective countermeasures are investigated, focusing on aggregation algorithms that provide robustness against Byzantine failures. Following this direction, Median-Krum is proposed as a new aggregation algorithm whose validity is observed on a set of simulations that recreate realistic scenarios, in the absence and presence of Byzantine adversaries. It combines the Distance-based Krum approach with the Statistical strategy of median based aggregation algorithm. Achieved results demonstrate the functionality of the proposed solutions in terms of accuracy and convergence rounds in comparison with FedAvg, Krum, Multi-Krum and FedMedian FL approaches under a correct and incorrect estimation of the attackers number.","theoretical, modeling, or simulation study",Proceedings of the Int'l ACM Symposium on Mobility Management and Wireless Access,,10.1145/3616390.3618283,https://consensus.app/papers/mediankrum-a-joint-distancestatistical-based-colosimo/95bcc6d04a2d5114ab32f8ffa1315ac0/
